code,title,definition,longdefinition,inclusions,exclusions
8B25.Z,"Late effects of cerebrovascular disease, unspecified",,,,
8B26.0,Brainstem stroke syndrome,,,,
8B26.1,Cerebellar stroke syndrome,,,,
8B26.2,Middle cerebral artery syndrome,,,,
8B26.3,Anterior cerebral artery syndrome,,,,
8B26.4,Posterior cerebral artery syndrome,,,,
8B26.50,Pure motor lacunar syndrome,,,,
8B26.51,Pure sensory lacunar syndrome,,,,
8B26.5Y,Other specified lacunar syndromes,,,,
8B26.5Z,"Lacunar syndromes, unspecified",,,,
8B26.Y,Other specified vascular syndromes of brain in cerebrovascular diseases,,,,
8B26.Z,"Vascular syndromes of brain in cerebrovascular diseases, unspecified",,,,
8B2Z,"Cerebrovascular diseases, unspecified",,,,
8B40,Cauda equina syndrome,,,,
8B41,Myelitis,,,,
8B42,Myelopathy,,,,
8B43.0,Acute arterial infarction of the spinal cord,Acute arterial infarction of the spinal cord is due to occlusion of the anterior or posterior spinal arteries or their branches. Classical anterior spinal artery occlusion in the watershed zone in the lower cervical cord causes a specific cord syndrome with sparing of the posterior segment of the cord. Associated aortic atherosclerotic disease as well as dissection should not be overlooked.,,,
8B43.1,Acute venous infarction of the spinal cord,"Loss of blood flow in the venous system, leading to spinal cord infarction, commonly associated with dural fistula and dural arteriovenous malformation.",,,
8B43.2,Chronic venous infarction of the spinal cord,"Loss of blood flow to the spinal cord due to venous flow abnormality, leading to spinal cord infarction development over a longer period of time.",,,
8B43.Y,Other specified non-compressive vascular myelopathies,,,,
8B43.Z,"Non-compressive vascular myelopathies, unspecified",,,,
8B44.00,Autosomal dominant hereditary spastic paraplegia,,,,
8B44.01,Autosomal recessive hereditary spastic paraplegia,,,,
8B44.02,X-linked hereditary spastic paraplegia,,,,
8B44.0Y,Other specified hereditary spastic paraplegia,,,,
8B44.0Z,"Hereditary spastic paraplegia, unspecified",,,,
8B44.Y,Other specified degenerative myelopathic disorders,,,,
8B44.Z,"Degenerative myelopathic disorders, unspecified",,,,
8B4Y,Other specified spinal cord disorders excluding trauma,,,,
8B4Z,"Spinal cord disorders excluding trauma, unspecified",,,,
8B60.0,Amyotrophic lateral sclerosis,"Amyotrophic lateral sclerosis (ALS) is a progressive, fatal disorder in which progressive signs of LMN and UMN degeneration are seen within one or more of the four regions: bulbar, cervical, thoracic and lumbosacral. Electrophysiological studies may be required to confirm lower motor neuron degeneration and to exclude alternative causes. Neuroimaging may be performed to exclude other causes, which might explain the clinical and electrophysiological features. Familial ALS (FALS) of autosomal dominant inheritance constitutes 5 to 10% of ALS. The clinical profile of FALS and sporadic ALS is similar. Mutations in the C9ORF72 and Cu/Zn superoxide dismutase (SOD1) genes constitute 50-60% of FALS.",,,
8B60.1,Progressive bulbar palsy,Progressive bulbar palsy (PBP) is a variant of amyotrophic lateral sclerosis that initially presents with symptoms of bulbar weakness such as dysarthria and dysphagia. Symptoms may remain relatively confined to the bulbar region. PBP more commonly affects females than males. Patients typically progress to develop limb weakness and features consistent with more typical ALS at a later stage of disease.,,,
8B60.2,Progressive pseudobulbar palsy,"Spastic speech, difficulty in swallowing, emotional lability, brisk jaw jerk, release reflexes such as palmomental reflex due to involvement of craniobulbar tracts are the common features of progressive pseudobulbar palsy. Usually mild lower motor neuron signs observed in progressive bulbar palsy may also co-exist or may develop during the progression of the disorder.",,,
8B60.3,Progressive muscular atrophy,"In progressive muscular atrophy, lower motor neuron signs in limb and trunk muscles are present without upper motor neuron involvement. Over time, some patients may progress to develop upper motor neuron signs, of which pathological evidence is common even in patients who never displayed clinical upper motor neuron signs, suggesting that progressive muscular atrophy is a form of ALS.",,,Fazio-Londe syndrome; Amyotrophic lateral sclerosis
8B60.4,Primary lateral sclerosis,"Primary lateral sclerosis (PLS) is a rare motor neuron disease variant which presents with slowly progressive UMN signs, such as spastic gait, brisk deep tendon jerks, and extensor plantar responses. Onset is most commonly with spastic paraparesis, but patients typically progress to develop upper limb and bulbar involvement. The characteristic feature of PLS is the complete absence of involvement of lower motor neuron involvement. When LMN signs develop during the course of the disease, the diagnosis will change to ALS, and they are considered a spectrum of the same disorder.",,,
8B60.5,Amyotrophic lateral sclerosis-Plus,"This category represents a group of disorders with motor symptoms of ALS and superimposed features of dysfunction of other neurological systems, such as extrapyramidal, cerebellar or cognitive dysfunction.",,,
8B60.6,Monomelic amyotrophy,"Atrophy and weakness restricted to one upper or lower limb, onset in the second or third decade, male predominance, and sporadic occurrence are characteristic features of MMA. Other typical features include: insidious onset of lower motor neuron signs due to anterior horn cell involvement, absence of upper motor neuron signs, slow progression followed by stabilization within a few years,, and a benign symptomatic disease course. MMA is particularly prevalent in Asia although it is encountered worldwide.",,,
8B60.7,Madras type motor neuron disease,,,,
8B60.Y,Other specified motor neuron disease,,,,
8B60.Z,"Motor neuron disease, unspecified",,,,
8B61.0,"Infantile spinal muscular atrophy, Type I","In SMA type 1, onset of weakness may be prenatal (decreased fetal movements toward the end of pregnancy) or within the first six months of life. Infants demonstrate a characteristic frog position with the thighs externally rotated and abducted and the knees flexed (floppy infant). Bulbar weakness causes feeding difficulty. Children are never able to sit without support, and the average survival is 9 months~ survival beyond 2 years is rare.",,,
8B61.1,"Late infantile spinal muscular atrophy, Type II","In SMA type 2, muscle weakness is seen between the ages of 6 to 18 months. The child can sit unsupported, but cannot stand or walk independently. Death usually occurs between 2 years of age and young adulthood.",,,
8B61.2,"Juvenile form spinal muscular dystrophy, Type III","In SMA type 3, weakness of muscles is seen after 18 months of age. The child is able to sit and stand independently. There is a limb girdle-type of distribution of weakness causing waddling gait, falls, and difficulty with running. The ability to walk may be lost, requiring a wheelchair as the disease progresses. The life expectancy may be normal.",,,
